Exponent	Iterative	Recursive
760	0.000108004	0.000281811
761	0.000108004	0.000277042
762	0.00010705	0.00027585
763	0.000295877	0.000285149
764	0.000108004	0.000276089
765	0.000108004	0.000286102
766	0.000108004	0.000282049
767	0.000108957	0.000287056
768	0.000108957	0.000283003
769	0.000108957	0.000277042
770	0.000108957	0.000287056
771	0.000109196	0.000280857
772	0.000110149	0.000283957
773	0.000110149	0.000277996
774	0.000109911	0.000286102
775	0.000109911	0.000290871
776	0.000110149	0.000283957
777	0.000110149	0.000289917
778	0.000111103	0.00028491
779	0.000110149	0.000283003
780	0.000110865	0.000295162
781	0.000111103	0.000283957
782	0.000111103	0.00029397
783	0.000111103	0.000290871
784	0.000111818	0.000283003
785	0.000117779	0.000287056
786	0.000112057	0.000286102
787	0.000111103	0.000293016
788	0.000112057	0.000288963
789	0.000112057	0.00028801
790	0.000118017	0.000296116
791	0.00011301	0.000288963
792	0.00011301	0.00029707
793	0.000114202	0.000289917
794	0.000120878	0.000298023
795	0.00011301	0.000287056
796	0.00011301	0.000293016
797	0.000113964	0.00029707
798	0.000113964	0.000295162
799	0.000113964	0.000298977
800	0.000113964	0.000295877
801	0.000113964	0.00029397
802	0.000317097	0.00029397
803	0.000114918	0.00029397
804	0.000124931	0.000296116
805	0.000115156	0.000294924
806	0.00011611	0.000304937
807	0.00011611	0.000293016
808	0.000114918	0.000301123
809	0.00011611	0.000300884
810	0.000115871	0.000298977
811	0.000121832	0.000298977
812	0.00011611	0.000298023
813	0.00011611	0.000303984
814	0.00011611	0.00030303
815	0.000117064	0.000305891
816	0.000116825	0.00030303
817	0.000116825	0.000300169
818	0.000123024	0.000299931
819	0.000118017	0.000300169
820	0.000117064	0.00030899
821	0.000118017	0.00029707
822	0.000118017	0.000311136
823	0.000118971	0.00030303
824	0.000118971	0.000306129
825	0.000123978	0.000304937
826	0.000118971	0.00030303
827	0.000118971	0.000316143
828	0.000118971	0.00030303
829	0.000118971	0.000311852
830	0.000118971	0.00030899
831	0.000119925	0.000303984
832	0.000125885	0.000314951
833	0.000123978	0.000306845
834	0.000119925	0.000314951
835	0.000119925	0.000308037
836	0.000121117	0.000313997
837	0.000120878	0.000308037
838	0.000121117	0.000511885
839	0.00012207	0.000311852
840	0.000120878	0.000360012
841	0.000132084	0.000311852
842	0.00012207	0.000316143
843	0.00012207	0.00030899
844	0.00012207	0.000310898
845	0.000128984	0.000310183
846	0.000123024	0.000315905
847	0.000121832	0.000320196
848	0.000123024	0.000313997
849	0.000123024	0.000325918
850	0.000123978	0.000313044
